ddate,IRR,STD
1998-11-04,1366,0.4
1998-11-05,1365.9,0.4
1998-11-06,1365.7,0.6
1998-11-07,1365.8,0.7
1998-11-08,1365.9,0.8
1998-11-09,1366,1
1998-11-10,1366,0.8
1998-11-11,1365.8,0.8
1998-11-12,1365.7,0.7
1998-11-17,1365.1,0.6
1998-11-19,1365.6,0.8
1998-11-25,1365.8,0.1
1998-11-29,1366.5,0.1
1998-12-02,1366,0
1999-01-06,1366.2,0.4
1999-01-09,1365.5,0.4
1999-01-11,1365.8,0.3
1999-01-13,1366.1,0.3
1999-02-06,1366.4,0
1999-02-10,1366.1,0
1999-02-24,1366.3,0.1
1999-02-28,1365.6,0.4
1999-03-10,1365.9,0.2
1999-03-11,1365.5,0.7
1999-03-24,1365.8,0.5
1999-03-31,1365.6,0.3
1999-04-07,1365.6,0.5
1999-04-21,1365.6,0.3
1999-04-29,1364.7,0.2
1999-05-11,1365.7,0.2
1999-05-19,1365.1,0.4
1999-05-31,1365,0
1999-06-02,1365.3,0.3
1999-06-16,1365.2,0.6
1999-06-30,1366.4,0.2
1999-07-09,1365.9,0.5
1999-07-23,1365,0.2
1999-07-28,1366.1,0
1999-07-31,1365.8,0.2
1999-08-11,1365.4,0.4
1999-08-25,1365.9,0.3
1999-08-31,1365.6,0.3
1999-09-08,1366.9,0
1999-09-22,1366.1,0.4
1999-09-30,1365.6,0.3
1999-12-22,1365.7,0
1999-12-29,1366,0.8
2000-01-05,1366.1,0.4
2000-01-19,1365.6,0.3
2000-01-26,1365.4,0.2
2000-02-02,1366.2,0
2000-02-09,1366.6,0
2000-02-16,1366,0.2
2000-02-23,1365.6,1
2000-03-01,1364.9,0
2000-03-08,1365.5,0.1
2000-03-15,1365.3,0.3
2000-03-22,1365.3,0.2
2000-03-29,1365.8,0.1
2000-04-05,1366.1,0.4
2000-04-12,1366.2,0.1
2000-04-19,1366.5,0.2
2000-04-26,1364.5,0.3
2000-05-03,1366.6,0.2
2000-05-10,1365.5,0.3
2000-05-17,1364.4,0.2
2000-05-24,1365.2,0.8
2000-05-31,1365.4,0.2
2000-06-07,1365.8,0.2
2000-06-14,1366.7,0
2000-06-22,1365.9,0.1
2000-06-28,1364.9,0.2
2000-07-05,1365.7,0.3
2000-07-20,1365,0.4
2000-07-26,1365.8,0
2000-08-02,1366.1,0
2000-08-09,1365.7,0.2
2000-08-16,1365.9,0
2000-08-23,1366.1,0
2000-08-30,1366.3,0
2000-09-13,1366.3,0.2
2000-09-20,1364.3,0.2
2000-09-27,1366.4,0.2
2000-10-04,1366.2,0.3
2000-10-11,1365.8,0
2000-10-18,1366.2,0.5
2000-11-08,1365.9,0
2000-11-15,1366,0.2
2000-11-29,1365.8,0.2
2000-12-06,1366.4,0
2000-12-27,1365.8,0.4
2001-01-17,1365.9,0.1
2001-01-24,1366.5,0
2001-01-31,1367.2,0
2001-02-07,1365.6,0.3
2001-02-14,1366.6,0.3
2001-02-21,1366.7,0
2001-02-28,1366.4,0.3
2001-03-07,1365.7,0.9
2001-03-14,1365.7,0.2
2001-03-21,1366,0.4
2001-04-04,1366.7,0
2001-04-11,1365.8,0
2001-04-25,1365.6,0.4
2001-05-02,1365.6,0.4
2001-05-09,1366.6,0.2
2001-05-16,1366.9,0
2001-05-23,1365.7,0
2001-05-30,1366.2,0.1
2001-06-06,1366,0
2001-06-13,1366.4,0
2001-06-20,1365.6,0
2001-06-27,1366.2,0.5
2001-07-18,1365.2,0.2
2001-07-25,1366,0.5
2001-08-01,1366,0.1
2001-08-08,1365.6,0.9
2001-08-15,1365.9,0
2001-08-22,1366,0
2001-08-29,1366.5,0
2001-09-05,1365.4,0.1
2001-09-12,1364.8,0.8
2001-09-19,1365.9,0.2
2001-09-26,1364.8,0.8
2001-10-03,1366.5,0.3
2001-10-10,1366.4,0.3
2001-10-17,1365.1,0.2
2001-10-31,1364.8,0.1
2001-11-07,1365.9,0
2001-11-14,1366.2,0.1
2001-11-21,1366.1,0.5
2001-11-28,1365.9,0.2
2001-12-05,1365.5,0
2001-12-15,1367.2,0
2001-12-19,1367,0.4
2002-01-09,1366.3,0.1
2002-01-30,1366.6,0.4
2002-02-06,1366.8,0.2
2002-02-13,1366.4,0.1
2002-02-20,1367.6,0
2002-02-27,1366.7,0.2
2002-03-06,1366.4,0.3
2002-03-13,1366,0.1
2002-03-20,1366.4,0.8
2002-03-27,1366.4,0.3
2002-04-03,1365.6,0
2002-04-10,1366,0.4
2002-04-17,1366.1,0.2
2002-04-24,1365.7,0.2
2002-05-01,1366.3,0
2002-05-08,1365.7,0.1
2002-05-15,1366.1,0
2002-05-22,1365.9,0.5
2002-05-29,1366.6,0.3
2002-06-05,1365.8,0
2002-06-12,1365.6,0.3
2002-06-19,1366.2,0.5
2002-07-10,1366.2,0.5
2002-07-15,1364.9,0.2
2002-07-16,1365.3,0
2002-07-17,1364.9,0
2002-07-18,1366,0
2002-07-19,1364.6,0
2002-08-26,1366.4,0.1
2002-08-30,1365.2,1
2002-09-02,1365.2,0.1
2002-09-04,1365.4,0.4
2002-09-13,1365,0.3
2002-09-18,1365.9,0
2002-09-20,1366,0.3
2002-09-23,1366.2,0
2002-09-25,1366,0
2002-09-30,1366.4,0
2002-10-02,1366.6,0
2002-10-04,1365.8,0.6
2002-10-07,1365.9,0.3
2002-11-01,1366.7,0
2002-11-13,1365.3,0.2
2002-11-15,1365.7,0.1
2002-11-18,1365.7,0.1
2002-12-18,1365.3,0
2003-01-08,1365.9,0
2003-01-15,1367,0
2003-01-22,1366.4,0.1
2003-01-29,1366.3,0
2003-02-05,1366.4,0
2003-02-12,1366.3,0
2003-02-19,1365.7,0.7
2003-02-26,1365.5,0.1
2003-03-12,1364.9,0.1
2003-03-19,1365.8,0
2003-03-26,1366.3,0
2003-04-02,1365.6,0
2003-04-16,1365.5,0.1
2003-04-23,1366,0
2003-05-07,1365.5,0
2003-05-14,1365.3,0.5
2003-05-21,1366,0.7
2003-06-04,1365.4,0
2003-06-11,1364.4,0.3
2003-07-02,1364.8,0.4
2003-07-16,1366.6,0
2003-07-23,1365.9,0.1
2003-07-30,1366,0
2003-08-06,1365.2,0
2003-08-20,1366.2,0
2003-09-03,1365.7,0.4
2003-09-10,1365.5,0
2003-09-24,1365.1,0.1
2003-10-01,1365.6,0.1
2003-10-08,1365.2,0.8
2003-10-15,1365,0
